LAT,LON,YEAR,DOY,T2M,RH2M,PRECTOTCORR
44.75,-114.75,2022,1,-21.22,96.18,0.01
44.75,-114.25,2022,1,-20.37,92.89,0.01
44.75,-113.75,2022,1,-19.38,88.09,0.01
44.75,-113.25,2022,1,-21.45,91.07,0.03
44.75,-112.75,2022,1,-21.66,91.92,0.05
44.75,-112.25,2022,1,-22.14,94.8,0.06
44.75,-111.75,2022,1,-23.36,99.14,0.05
44.75,-111.25,2022,1,-24.09,99.72,0.05
44.75,-110.75,2022,1,-23.96,99.59,0.05
44.75,-110.25,2022,1,-23.78,99.41,0.04
44.75,-109.75,2022,1,-21.56,90.86,0.03
44.75,-109.25,2022,1,-17.54,75.38,0.02
44.75,-108.75,2022,1,-14.15,64.16,0.01
44.75,-108.25,2022,1,-14.67,65.68,0.01
44.75,-107.75,2022,1,-16.5,72.96,0.04
44.75,-107.25,2022,1,-16.38,72.71,0.06
44.75,-106.75,2022,1,-14.45,64.97,0.05
44.75,-106.25,2022,1,-14.26,63.12,0.03
44.75,-105.75,2022,1,-15.09,65.18,0.03
44.75,-105.25,2022,1,-15.64,66.49,0.03
45.25,-114.75,2022,1,-20.06,98.18,0.01
45.25,-114.25,2022,1,-19.29,95.73,0.01
45.25,-113.75,2022,1,-19.07,92.91,0.02
45.25,-113.25,2022,1,-20.39,94.08,0.03
45.25,-112.75,2022,1,-19.65,89.95,0.03
45.25,-112.25,2022,1,-19.67,89.48,0.04
45.25,-111.75,2022,1,-21.12,94.09,0.05
45.25,-111.25,2022,1,-22.54,97.69,0.06
45.25,-110.75,2022,1,-22.81,97.26,0.09
45.25,-110.25,2022,1,-22.19,95.11,0.07
45.25,-109.75,2022,1,-19.35,83.88,0.04
45.25,-109.25,2022,1,-15.4,68.03,0.01
45.25,-108.75,2022,1,-13.99,63.88,0.01
45.25,-108.25,2022,1,-15.13,66.92,0.01
45.25,-107.75,2022,1,-14.69,66.66,0.01
45.25,-107.25,2022,1,-14.35,66.08,0.02
45.25,-106.75,2022,1,-14.67,66.12,0.02
45.25,-106.25,2022,1,-15.06,65.59,0.02
45.25,-105.75,2022,1,-15.3,65.29,0.02
45.25,-105.25,2022,1,-15.71,66.27,0.02
45.75,-114.75,2022,1,-19.07,99.51,0.03
45.75,-114.25,2022,1,-19.64,99.11,0.04
45.75,-113.75,2022,1,-20.31,98.81,0.04
45.75,-113.25,2022,1,-19.94,97.44,0.03
45.75,-112.75,2022,1,-18.75,90.81,0.02
45.75,-112.25,2022,1,-17.94,86.04,0.02
45.75,-111.75,2022,1,-17.97,85.46,0.03
45.75,-111.25,2022,1,-18.52,86.66,0.04
45.75,-110.75,2022,1,-20.28,92.16,0.1
45.75,-110.25,2022,1,-19.66,90.08,0.1
45.75,-109.75,2022,1,-17.09,79.53,0.06
45.75,-109.25,2022,1,-14.25,66.89,0.02
45.75,-108.75,2022,1,-14.09,65.81,0.0
45.75,-108.25,2022,1,-14.12,66.04,0.01
45.75,-107.75,2022,1,-14.26,66.77,0.02
45.75,-107.25,2022,1,-14.65,67.52,0.03
45.75,-106.75,2022,1,-15.08,67.54,0.03
45.75,-106.25,2022,1,-15.02,65.81,0.03
45.75,-105.75,2022,1,-15.27,65.06,0.02
45.75,-105.25,2022,1,-15.8,66.66,0.02
46.25,-114.75,2022,1,-18.41,99.59,0.04
46.25,-114.25,2022,1,-19.25,99.84,0.04
46.25,-113.75,2022,1,-19.36,99.72,0.03
46.25,-113.25,2022,1,-18.98,98.54,0.02
